22222	2023-09-09 14:55:03.929	2	4
5	2023-09-09 15:00:00.001	1	1
6	2023-09-09 15:00:00.001	1	1
7	2023-09-09 15:00:00.002	1	1
162	2023-09-09 15:01:00.002	1	1
188	2023-09-09 15:02:00.002	1	1
192	2023-09-09 15:03:00.002	1	1
922	2023-09-09 15:04:00.002	1	1
99	2023-09-09 15:05:00.002	1	1
98	2023-09-09 15:05:00.004	1	1
79	2023-09-09 15:05:00.005	1	1
67	2023-09-09 15:05:00.223	1	1
68	2023-09-09 15:05:00.223	1	1
6129	2023-09-09 15:09:01.226	1	1
6130	2023-09-09 15:09:02.226	1	1
6131	2023-09-09 15:09:02.236	1	1
